InflationPressure,BeltAngle,CrossSection,EPI,C10
35,25,0.00032869,20,43.58
35,25,0.00032869,20,39.22
35,25,0.00032869,20,47.94
35,25,0.00032869,18,43.58
35,25,0.00032869,18,39.22
35,25,0.00032869,18,47.94
35,25,0.00032869,22,43.58
35,25,0.00032869,22,39.22
35,25,0.00032869,22,47.94
35,25,0.000295821,20,43.58
35,25,0.000295821,20,39.22
35,25,0.000295821,20,47.94
35,25,0.000295821,18,43.58
35,25,0.000295821,18,39.22
35,25,0.000295821,18,47.94
35,25,0.000295821,22,43.58
35,25,0.000295821,22,39.22
35,25,0.000295821,22,47.94
35,25,0.000361559,20,43.58
35,25,0.000361559,20,39.22
35,25,0.000361559,20,47.94
35,25,0.000361559,18,43.58
35,25,0.000361559,18,39.22
35,25,0.000361559,18,47.94
35,25,0.000361559,22,43.58
35,25,0.000361559,22,39.22
35,25,0.000361559,22,47.94
35,23,0.00032869,20,43.58
35,23,0.00032869,20,39.22
35,23,0.00032869,20,47.94
35,23,0.00032869,18,43.58
35,23,0.00032869,18,39.22
35,23,0.00032869,18,47.94
35,23,0.00032869,22,43.58
35,23,0.00032869,22,39.22
35,23,0.00032869,22,47.94
35,23,0.000295821,20,43.58
35,23,0.000295821,20,39.22
35,23,0.000295821,20,47.94
35,23,0.000295821,18,43.58
35,23,0.000295821,18,39.22
35,23,0.000295821,18,47.94
35,23,0.000295821,22,43.58
35,23,0.000295821,22,39.22
35,23,0.000295821,22,47.94
35,23,0.000361559,20,43.58
35,23,0.000361559,20,39.22
35,23,0.000361559,20,47.94
35,23,0.000361559,18,43.58
35,23,0.000361559,18,39.22
35,23,0.000361559,18,47.94
35,23,0.000361559,22,43.58
35,23,0.000361559,22,39.22
35,23,0.000361559,22,47.94
35,28,0.00032869,20,43.58
35,28,0.00032869,20,39.22
35,28,0.00032869,20,47.94
35,28,0.00032869,18,43.58
35,28,0.00032869,18,39.22
35,28,0.00032869,18,47.94
35,28,0.00032869,22,43.58
35,28,0.00032869,22,39.22
35,28,0.00032869,22,47.94
35,28,0.000295821,20,43.58
35,28,0.000295821,20,39.22
35,28,0.000295821,20,47.94
35,28,0.000295821,18,43.58
35,28,0.000295821,18,39.22
35,28,0.000295821,18,47.94
35,28,0.000295821,22,43.58
35,28,0.000295821,22,39.22
35,28,0.000295821,22,47.94
35,28,0.000361559,20,43.58
35,28,0.000361559,20,39.22
35,28,0.000361559,20,47.94
35,28,0.000361559,18,43.58
35,28,0.000361559,18,39.22
35,28,0.000361559,18,47.94
35,28,0.000361559,22,43.58
35,28,0.000361559,22,39.22
35,28,0.000361559,22,47.94
26.25,25,0.00032869,20,43.58
26.25,25,0.00032869,20,39.22
26.25,25,0.00032869,20,47.94
26.25,25,0.00032869,18,43.58
26.25,25,0.00032869,18,39.22
26.25,25,0.00032869,18,47.94
26.25,25,0.00032869,22,43.58
26.25,25,0.00032869,22,39.22
26.25,25,0.00032869,22,47.94
26.25,25,0.000295821,20,43.58
26.25,25,0.000295821,20,39.22
26.25,25,0.000295821,20,47.94
26.25,25,0.000295821,18,43.58
26.25,25,0.000295821,18,39.22
26.25,25,0.000295821,18,47.94
26.25,25,0.000295821,22,43.58
26.25,25,0.000295821,22,39.22
26.25,25,0.000295821,22,47.94
26.25,25,0.000361559,20,43.58
26.25,25,0.000361559,20,39.22
26.25,25,0.000361559,20,47.94
26.25,25,0.000361559,18,43.58
26.25,25,0.000361559,18,39.22
26.25,25,0.000361559,18,47.94
26.25,25,0.000361559,22,43.58
26.25,25,0.000361559,22,39.22
26.25,25,0.000361559,22,47.94
26.25,23,0.00032869,20,43.58
26.25,23,0.00032869,20,39.22
26.25,23,0.00032869,20,47.94
26.25,23,0.00032869,18,43.58
26.25,23,0.00032869,18,39.22
26.25,23,0.00032869,18,47.94
26.25,23,0.00032869,22,43.58
26.25,23,0.00032869,22,39.22
26.25,23,0.00032869,22,47.94
26.25,23,0.000295821,20,43.58
26.25,23,0.000295821,20,39.22
26.25,23,0.000295821,20,47.94
26.25,23,0.000295821,18,43.58
26.25,23,0.000295821,18,39.22
26.25,23,0.000295821,18,47.94
26.25,23,0.000295821,22,43.58
26.25,23,0.000295821,22,39.22
26.25,23,0.000295821,22,47.94
26.25,23,0.000361559,20,43.58
26.25,23,0.000361559,20,39.22
26.25,23,0.000361559,20,47.94
26.25,23,0.000361559,18,43.58
26.25,23,0.000361559,18,39.22
26.25,23,0.000361559,18,47.94
26.25,23,0.000361559,22,43.58
26.25,23,0.000361559,22,39.22
26.25,23,0.000361559,22,47.94
26.25,28,0.00032869,20,43.58
26.25,28,0.00032869,20,39.22
26.25,28,0.00032869,20,47.94
26.25,28,0.00032869,18,43.58
26.25,28,0.00032869,18,39.22
26.25,28,0.00032869,18,47.94
26.25,28,0.00032869,22,43.58
26.25,28,0.00032869,22,39.22
26.25,28,0.00032869,22,47.94
26.25,28,0.000295821,20,43.58
26.25,28,0.000295821,20,39.22
26.25,28,0.000295821,20,47.94
26.25,28,0.000295821,18,43.58
26.25,28,0.000295821,18,39.22
26.25,28,0.000295821,18,47.94
26.25,28,0.000295821,22,43.58
26.25,28,0.000295821,22,39.22
26.25,28,0.000295821,22,47.94
26.25,28,0.000361559,20,43.58
26.25,28,0.000361559,20,39.22
26.25,28,0.000361559,20,47.94
26.25,28,0.000361559,18,43.58
26.25,28,0.000361559,18,39.22
26.25,28,0.000361559,18,47.94
26.25,28,0.000361559,22,43.58
26.25,28,0.000361559,22,39.22
26.25,28,0.000361559,22,47.94
43.75,25,0.00032869,20,43.58
43.75,25,0.00032869,20,39.22
43.75,25,0.00032869,20,47.94
43.75,25,0.00032869,18,43.58
43.75,25,0.00032869,18,39.22
43.75,25,0.00032869,18,47.94
43.75,25,0.00032869,22,43.58
43.75,25,0.00032869,22,39.22
43.75,25,0.00032869,22,47.94
43.75,25,0.000295821,20,43.58
43.75,25,0.000295821,20,39.22
43.75,25,0.000295821,20,47.94
43.75,25,0.000295821,18,43.58
43.75,25,0.000295821,18,39.22
43.75,25,0.000295821,18,47.94
43.75,25,0.000295821,22,43.58
43.75,25,0.000295821,22,39.22
43.75,25,0.000295821,22,47.94
43.75,25,0.000361559,20,43.58
43.75,25,0.000361559,20,39.22
43.75,25,0.000361559,20,47.94
43.75,25,0.000361559,18,43.58
43.75,25,0.000361559,18,39.22
43.75,25,0.000361559,18,47.94
43.75,25,0.000361559,22,43.58
43.75,25,0.000361559,22,39.22
43.75,25,0.000361559,22,47.94
43.75,23,0.00032869,20,43.58
43.75,23,0.00032869,20,39.22
43.75,23,0.00032869,20,47.94
43.75,23,0.00032869,18,43.58
43.75,23,0.00032869,18,39.22
43.75,23,0.00032869,18,47.94
43.75,23,0.00032869,22,43.58
43.75,23,0.00032869,22,39.22
43.75,23,0.00032869,22,47.94
43.75,23,0.000295821,20,43.58
43.75,23,0.000295821,20,39.22
43.75,23,0.000295821,20,47.94
43.75,23,0.000295821,18,43.58
43.75,23,0.000295821,18,39.22
43.75,23,0.000295821,18,47.94
43.75,23,0.000295821,22,43.58
43.75,23,0.000295821,22,39.22
43.75,23,0.000295821,22,47.94
43.75,23,0.000361559,20,43.58
43.75,23,0.000361559,20,39.22
43.75,23,0.000361559,20,47.94
43.75,23,0.000361559,18,43.58
43.75,23,0.000361559,18,39.22
43.75,23,0.000361559,18,47.94
43.75,23,0.000361559,22,43.58
43.75,23,0.000361559,22,39.22
43.75,23,0.000361559,22,47.94
43.75,28,0.00032869,20,43.58
43.75,28,0.00032869,20,39.22
43.75,28,0.00032869,20,47.94
43.75,28,0.00032869,18,43.58
43.75,28,0.00032869,18,39.22
43.75,28,0.00032869,18,47.94
43.75,28,0.00032869,22,43.58
43.75,28,0.00032869,22,39.22
43.75,28,0.00032869,22,47.94
43.75,28,0.000295821,20,43.58
43.75,28,0.000295821,20,39.22
43.75,28,0.000295821,20,47.94
43.75,28,0.000295821,18,43.58
43.75,28,0.000295821,18,39.22
43.75,28,0.000295821,18,47.94
43.75,28,0.000295821,22,43.58
43.75,28,0.000295821,22,39.22
43.75,28,0.000295821,22,47.94
43.75,28,0.000361559,20,43.58
43.75,28,0.000361559,20,39.22
43.75,28,0.000361559,20,47.94
